"Investor","Loan Types","Loan Channels","Min Credit","Executive","AVG App To Fund","Preferred","Rating","Portal","Licensed States","Revenue Notes","Notes"
"ARC Home LLC","Conventional, FHA, VA, USDA, Non-QM, Jumbo","Wholesale","580","Leah Rodriguez","52 (3)","","2.2","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","$1,150 Standard Conv & Gov 
$645 Streamline & IRRRL 
$1,275 Jumbo 
$1495 NQM (+ $150 TX attorney fee)"
"ARDRI LLC","Non-QM, Jumbo, Commercial - Residential","Wholesale","600","Paul Pesantez","52 (2)","","","🔗","🔗","LPC/BPC: 2.250% ($30K Max)","$1595 and a possible $250 if we need a desk review, $250 for attny fee in SC and TX"
"Asset Based Lending","Non-QM, Hard Money, Commercial - Residential","Wholesale","660","Greg Dietz","20 (2)","","","🔗","🔗","Commercial Compensation- Contact AE",""
"Axos Bank","Conventional, USDA, Heloan, Non-QM, Jumbo","Wholesale","660","Jeremy Fraley","42 (1)","","","🔗","🔗","LPC: 1.25% investor max ($50K Max)","Lender fee $1695
Trust/Entity Review $350
TX Doc Review $150
Privacy Mortgage $350"
"Be in Mortgage","Conventional, FHA, VA, USDA, Non-QM","Wholesale","580","Alfredo Padilla","52 (1)","","","🔗","🔗","LPC/BPC 2.25% (1K Min, 30K Max)","Conventional & Government UW Fee: $1,195 
Non-QM UW Fee: $1395-$1695 depending on the program"
"BluePoint Mortgage","Conventional, FHA, VA, USDA, Heloan, Non-QM, Jumbo","Wholesale","550","Rebecca Raff","34 (2)","","4.72","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","CA: $1295
All Other States: $995
Non-QM: $1995"
"Brokers Advantage Mortgage","Conventional, FHA, Heloan, Non-QM, Jumbo","Wholesale","640","Chris Birkett","36 (28)","","4.4","🔗","🔗","BPC only on 1st TD. LPC on 2nd liens is 1.5%.  DSCR LPC 2.250%","UW: $1695
Tax Service: $80
Flood: $14"
"Brokers First Funding","Conventional, FHA, VA, USDA, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","500","Lito Gonzales","27 (1)","","","🔗","🔗","2.25% (1K Min, 30K Max)","Prime: $1,095
Non-QM: $1,495
S/L & IRRRL: $595"
"Button Finance","Heloc, Heloan","Wholesale","620","Rob Campbell","35 (18)","","4.24","🔗","🔗","LPC: 2% |  BPC: up to 5%",""
"Cake Mortgage Corp","Heloan, Non-QM, Jumbo","Wholesale","620","Chris Minassian","39 (8)","","5","🔗","🔗","LPC/BPC: 2.250% (30K Max)","Streamlines: $595
Full Doc: $1995
Non QM:$1475"
"California Bank & Trust","Commercial, SBA","Wholesale","650","Hillary Leon","24 (2)","","","🔗","🔗","Referral Fee: Contact AE",""
"CalVet Home Loans","VA","Wholesale","100","Lesa Walker","0 (0)","","","🔗","🔗","Referral Fee: 1% Paid to broker",""
"Cardinal Financial Company","Conventional, FHA, VA, USDA, Non-QM, Jumbo","Wholesale","550","Carmen Hreniuc","35 (4)","","","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","All States: $1195
All Govt & SL: $495"
"Carlyle Capital","Conventional, Non-QM, Commercial, Hard Money, Jumbo","Wholesale","650","Audrey Zorio","0 (0)","","","🔗","🔗","BPC",""
"Carrington Mortgage Services, LLC","Conventional, FHA, VA, USDA, Non-QM, Jumbo","Wholesale","500","Allyson Ebert","80 (6)","","2.7","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","Tax Service: $85
Government: $995
Non-QM: $1695
*Add $300 to UW if we are a Processing Processor IQ"
"Celtic Bank","Commercial, SBA","Wholesale","100","Michael Harris","0 (0)","","","🔗","🔗","Referral fee: 1.25% paid to broker.","SBA: $5000 fee to be paid by the borrower after term sheet is issued. 
Celtic Bank pay 1.25% of the loan amount to the referring broker – this is paid by bank."
"Center Street Lending","Conventional, FHA, Non-QM, Hard Money","Wholesale","650","Michael Price","39 (1)","","","🔗","🔗","BPC Only: 2.250%",""
"Champions Funding, LLC","Conventional, Non-QM, Jumbo, Commercial - Residential","Wholesale","620","Robert Kocovski","41 (24)","","3.58","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","Underwriting Fee: $1495
Doc Prep: $100
Homeownership Counseling: $75
POC Appraisal Desk Review: $150
POC Trust Review: $350"
"Change Wholesale","Conventional, FHA, VA, Non-QM","Wholesale","550","Tan Karim","49 (26)","","4.49","🔗","🔗","LPC/BPC: 2.25% (30K Max)",""
"ClearEdge Lending","Conventional, Non-QM, Jumbo, Commercial - Residential","Wholesale","620","Monique Chevalier","47 (6)","","5","🔗","🔗","LPC/BPC: 2.25% (25K Max)","UW Fee: $1599
Tax: $75
Flood: $9"
"CMG Financial","Conventional, FHA, VA, USDA, Jumbo","Wholesale","600","Ian Potter","48 (1)","","4.8","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","$1095
CMG Admin Fee: $1095
First position HELOC merged with a zero-balance-sweep checking account FHA Spot Approvals: Call AE"
"Community Commerce Bank","Commercial, Commercial - Residential","Wholesale","620","Eric Allen","0 (0)","","","🔗","","2% BPC with .250% LPC business purpose, max $45k","UW fee $1995 and $500 doc prep"
"Community Savings","Non-QM","Wholesale","660","Frederick Corvington","33 (1)","","","🔗","🔗","BPC ONLY: 2.250%","UW Fee: $1495
Doc Fee: $100"
"Community Wholesale Lending","FHA, VA","Wholesale","580","Keith Dabols","566 (2)","","","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","Admin: $995
Flood: $12
Appraisal: $760"
"Consortium Equity","Hard Money","Wholesale","100","Bill Gerard","40 (1)","","5","🔗","🔗","BPC ONLY: 2.250%","Fees are 1.5 - 2 points (depending on deal size).
UW Fee: $695
Doc Fee: $1000 to third party attorney."
"CV3 Financial Services, LLC","Non-QM, Hard Money","Wholesale","600","Chris O'Neill","0 (0)","","","","🔗","",""
"Deephaven Mortgage, LLC","Conventional, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","620","Michael Shields","36 (4)","","1","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","UW Fee: $1695"
"Divine Mortgage Capital","Conventional, FHA, Non-QM, Jumbo","Wholesale","620","Steven Kim","24 (1)","","3.3","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","$1170"
"Dominion Financial","Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","660","Chandra Haluczak","0 (0)","","","🔗","🔗","BPC only: 2.250%","1649"
"Easy Street Capital","Commercial - Residential","Wholesale","660","Alex Gach","48 (1)","","","🔗","🔗","REFERRAL 1%-3% depending on deal",""
"eLEND","FHA, VA, USDA","Wholesale","580","Alex Arend","46 (5)","","2.84","🔗","🔗","2.25% (1K Min, 30K Max)","$1095 UW fee (can be built into the pricing)   $7.50 flood cert  $80 FHA tax service fee"
"EMET Mortgage","Conventional, FHA, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","620","Danny Kim","20 (2)","","","🔗","🔗","LPC 2.250% +$500","$1,170-$1,395"
"Emporium TPO LLC","Conventional, Non-QM, Jumbo","Wholesale","660","Chris Leone","32 (1)","","4.1","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","$1855"
"Equity Prime Mortgage LLC","Conventional, FHA, VA, USDA, Non-QM, Jumbo","Wholesale","500","Angela Delgado","45 (30)","","3.85","🔗","🔗","LPC/BPC: 2.25%","$1195"
"Equity Wave Lending, Inc","Heloan, Non-QM, Commercial, Hard Money","Wholesale","100","Debbi Suddarth","58 (3)","","5","🔗","🔗","BPC only: .250%","2 points & $1775"
"Everstream Mortgage","Conventional, FHA, VA, USDA, Heloan, Jumbo","Wholesale","580","Yvonne Rupp","32 (8)","","","🔗","🔗","LPC/BPC: 2.25% (1k min, 30k max)","$999"
"FBC Mortgage Inc.","Conventional, FHA, VA, USDA, Jumbo","Wholesale","600","Nora Chavez","29 (4)","","","🔗","🔗","LPC: 2.25% (1K Min, 30K Max)  Florida Housing DPA Programs MAX LPC is 2% ONLY","Admin Fee: $1095
FHA Streamline Fee: $695
Flood Cert Fee: $10 
Tax Service Fee: $70"
"Finance of America - Commercial","Non-QM, Hard Money","Wholesale","620","Ronald Cannucci","27 (0)","","","🔗","🔗","LPC/BPC: 2.25% (1K Min, 25K Max)",""
"Finance of America Reverse","Conventional, FHA, Heloc, Reverse, Jumbo","Wholesale","600","Brad B. Byrnes","57 (5)","","5","🔗","🔗","Reverse Type Compensation: Contact AE","No Far Fees"
"First Citizens Bank & Trust Company","","","0","","0 (0)","","","","🔗","",""
"First Colony Mortgage","FHA, VA, USDA, Non-QM, Jumbo","Wholesale","580","Robb Fordham","42 (1)","","5","🔗","🔗","LPC/BPC: 2.25% (30K Max)","Admin Fee: $1095
Tax Fee: $70
Flood Fee: $7"
"First National Bank of America","Conventional, Non-QM, Jumbo","Wholesale","600","Alyssa Bryans","29 (8)","","4.73","🔗","🔗","LPC/BPC: 2.25% ($500 Min, $30K Max)","$1855"
"First Technology Federal Credit Union","Heloc","Wholesale","640","Philip Aust","29 (2)","","","","🔗","LPC 2%","$500, see fee sheet"
"Flyhomes Mortgage","Heloan","Wholesale","640","Nicholas Anderson","52 (1)","","","🔗","🔗","LPC: 2.25%","Differs by product."
"Foundation Mortgage","Conventional, Non-QM, Jumbo, Commercial - Residential","Wholesale","620","Scott Wood","27 (1)","","4.6","🔗","🔗","2.25% (1K Min, 30K Max)",""
"Freedom Mortgage Corporation","Conventional, FHA, VA, USDA, Jumbo","Wholesale","580","Joseph Rizzo","35 (29)","","4.2","🔗","🔗","2.25% (1K Min, 30K Max)","Lender fee for CA is $995.
Lender fees are applied assigned by state."
"Fulton Mortgage Company","Conventional, FHA, VA, USDA","Wholesale","620","Joe Kowalewski","0 (0)","","","🔗","🔗","","Processing Fee – Conventional, Government and Portfolio - $1150.00
Processing Fee – Community Combo 2nd - $450.00
Appraisal Fee - $595.00
Condo Fee - $695.00"
"FundLoans Capital","Heloan, Non-QM, Jumbo","Wholesale","620","Mitchell Dempster","45 (9)","","4.58","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","Underwriting Fee: $1,395
Funding Fee: $395
Enhanced Desk Review: $165"
