"Investor","Loan Types","Loan Channels","Min Credit","Executive","AVG App To Fund","Preferred","Rating","Portal","Licensed States","Revenue Notes","Notes"
"Logan Finance","Conventional, USDA, Non-QM, Jumbo, Commercial - Residential","Wholesale","660","Erica Garcia","46 (5)","","4.2","🔗","🔗","LPC/BPC: 2.25% (30K Max)","$1295 All-In"
"Longbridge Financial, LLC","Reverse","Wholesale","550","Brooke McManus","77 (1)","","5","🔗","🔗","Reverse Type Compensation: Contact AE",""
"Luminate Bank","Heloan, Non-QM, Reverse","","0","Brent Wood","0 (0)","","","🔗","🔗","2.250%","$1495"
"Luxury Mortgage Corp.","Conventional, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","620","Kathleen Kaylor","42 (1)","","3.1","🔗","🔗","2.25%LPC (1K Min, 30K Max) - Luxury does not have max comp system capabilities at this time.","Underwriting: $1650
Docs: $195"
"Mega Capital Funding, Inc","Conventional, FHA, VA, Non-QM, Jumbo","Wholesale","620","Elaine Lui","24 (2)","","2.8","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)",""
"Milestone Mortgage","Heloan, Commercial, Commercial - Residential","Wholesale","580","Zoe Hamilton","0 (0)","","","🔗","🔗","BPC ONLY: 2.250%","3%"
"MiMutual Wholesale powered by Supreme Lending","Conventional, FHA, VA, USDA, Jumbo","Wholesale","600","Julie Sakadales","42 (1)","","4","🔗","🔗","LPC: 2.25% (1K Min, 30K Max)","UW: $1095 UW (EXCEPT on VA)"
"MLB Mortgage","FHA, VA, USDA, Non-QM, Jumbo","Wholesale","560","Andrea DeMatteo","67 (1)","","4.8","🔗","🔗","2.25% (1K Min, 30K Max)","$1295: Lender Fee/UW Fee"
"Mobilehomeloans.com","Non-QM","Wholesale","0","Curtis Steen","48 (1)","","","","🔗","",""
"Mortgage Financial Services, LLC","Conventional, FHA, VA, USDA, Jumbo","Wholesale","620","Steve Merka","29 (1)","","","🔗","🔗","LPC/BPC: 2.25% ($1K Min, $30K Max)","$1195"
"Mortgage Solutions Financial","FHA, VA, USDA, Commercial - Residential","Wholesale","400","Richard Eampietro","32 (2)","","","🔗","🔗","LPC/BPC: 2.25% ($30K Max)",""
"Mutual of Omaha","Conventional, FHA, Heloc, Reverse, Jumbo","Wholesale","580","Wes McGaffin (FORWARD MORTGAGES)","47 (11)","","5","🔗","🔗","LPC/BPC: 2.25% ($1K Min, $30K Max)",""
"Nada","Hard Money","","580","Lucy Vega","68 (12)","","","","🔗","1.5%",""
"Nations Direct Mortgage, LLC","Conventional, FHA, VA, Heloan, Non-QM, Jumbo","Wholesale","550","Justin Simpers","36 (1)","","3.5","🔗","🔗","LPC: 2.25% (1K Min, 20K Max)","See Lenders Folder for a complete list."
"Nationwide Equities Corp","Reverse","Wholesale","100","Mary Cooper","78 (1)","","","🔗","🔗","",""
